semantic violations,EN_LIT,EN_INT
Öğrenciler sessizliği ısıttı.,The students heated the silence.,
Dünkü sert güneş şarkıyı eritti.,Yesterday's harsh sun melted the song.,
Ayakkabı düşünceyi çatlattı.,The shoe cracked the thought.,
Klima tahtayı dondurdu.,The air conditioner froze the wood.,
Su gömleği kuruttu.,The water dried the shirt.,
Renkler buzu soğuttu.,The colors cooled the ice.,
Case Marking Errors,,
Aylin okula çok sevdi.,Aylin loved to the school.,Aylin loved the school.
Aylin her gün otobüsü bindi,Aylin got on the bus (Accusative).,Aylin got on the bus every day.
Çocuklar karanlığı çok korktu.,The children feared the dark (Accusative).,The children were very afraid of the dark.
Bebek annesine özledi.,The baby missed to its mother.,The baby missed its mother.
Aylin arkadaşını saldırdı.,Aylin attacked her friend (Accusative).,Aylin attacked her friend.
Tense mismatch,,
Annem bana yemeği dün yaptıracak.,My mother will have the meal made yesterday.,My mother had the meal made yesterday.
Okul geçtiğimiz yıl 22 mezun verecek.,The school will give 22 graduates last year.,The school gave 22 graduates last year.
Otobüs biraz önce kalkacak. ,The bus will depart a little while ago.,The bus departed a little while ago.
Aşçı yemeği dün pişirecek.,The chef will cook the meal yesterday.,The chef cooked the meal yesterday.
Yarın Nilüfer bu parçayı söyledi.,Tomorrow Nilüfer sang this piece.,Nilüfer will sing this piece tomorrow.
Grammatical,,
Aylin camı çatlattı.,Aylin cracked the glass.,
Klima duvara takılacak.,The AC will be mounted on the wall.,
İnsanlar yüksek sesten rahatsız oldu.,People were disturbed by the loud noise.,
Deniz dalgalanmaya başladı.,The sea started to get wavy.,