English Original,Turkish Translation,Changed_EN,TR_LIT
High Energy,High Energy,,
The air conditioner cooled the room.,Klima odayı soğuttu.,,
The alarm clock awoke the kids.,Çalar saat çocukları uyandırdı.,,
The burner warmed the coffee.,Isıtıcı kahveyi ısıttı.,,
The candle brightened the room.,Mum odayı aydınlattı.,,
The dishwasher shook the dishes.,Bulaşık makinesi bulaşıkları çalkaladı.,,
The electric kettle boiled the water.,Elektrikli su ısıtıcısı suyu kaynattı.,,
The eye glasses magnified the words.,Gözlük camı kelimeleri büyüttü.,,
The lightning killed the guard.,Yıldırım bekçiyi öldürdü.,,
The microwave heated the soup.,Mikrodalga çorbayı ısıttı.,,
The refrigerator chilled the beer.,Buzdolabı birayı soğuttu.,,
The space heater warmed the cabin.,Soba kabini ısıttı.,,
The stove cooked the meat.,Ocak eti pişirdi.,,
The sun dried the clothes.,Güneş kıyafetleri kuruttu.,,
The toaster browned the bread.,Ekmek kızartma makinesi ekmeği kızarttı.,,
The wind opened the door.,Rüzgar kapıyı açtı.,,
Low Energy,Low Energy,,
The chopsticks squashed the noodle.,Çatal erişteyi ezdi.,The fork squashed the noodle.,Yemek çubukları erişteyi ezdi.
The corkscrew opened the bottle.,Tirbuşon şişeyi açtı.,,
The eraser removed the mark.,Silgi lekeyi sildi.,The eraser removed the stain.,Silgi izi sildi.
The hammer broke the vase.,Çekiç vazoyu kırdı.,,
The hanger dropped the shirt.,Askı gömleği düşürdü.,,
The high heels scuffed the floor.,Topuklu ayakkabı zemini çizdi.,The high heel scuffed the floor.,Topuklu ayakkabılar zemini çizdi.
The jacket warmed the boy.,Ceket çocuğu ısıttı.,,
The kettle boiled the tea.,Çaydanlık çayı demledi.,The kettle brewed the tea.,Çaydanlık çayı kaynatti.
The key locked the door.,Anahtar kapıyı kilitledi.,,
The knife cut the bread.,Bıçak ekmeği kesti.,,
The pencil wrote the note.,Kalem notu yazdı.,,
The scissors cut the paper.,Makas kağıdı kesti.,,
The spoon moved the ice cream.,Kaşık dondurmayı taşıdı.,,
The stone broke the window.,Taş pencereyi kırdı.,,
The toothbrush cleaned the teeth.,Diş fırçası dişleri temizledi.,,